objectID, objectLabel, objectPeriod, objectLang
LIT3953MashafaQ#t2Arabic, Qandīl, Paks2, ar
LIT3953MashafaQ#t3Greek, Not available, Paks2, grc
LIT3942ArdeetCh, Maṣḥafa ʾardǝʾǝt, , gez
LIT1940Mashaf#t1coptic, Coptic baptismal rite, , cop
LIT1961Mashaf, Maṣḥafa saʿātāt (general record), , gez
t4Arabic, No item: t4Arabic, , gez
LIT1399Filkes#t5syriac, Not available, , syr
LIT1399Filkes#t6arabic, Not available, , ar
LIT1948Mashaf#t3arabic, Not available, , gez
LIT1461Gadlah#t2arabic, Arabic version, , ar
LIT1899Martyr#t3arabic, Arabic Vita of Mercurios, , ar
LIT2623Zenana, Zena nägäromu läśǝllase, , gez
LIT1966Mashaf, Mäṣḥafä śǝllase, , gez
LIT1199Barala#t7arabic, Not available, , ar
LIT1199Barala#t3pahlavi, Not available, , pal
LIT1199Barala#t4arabic, Bilawhar wa-Būdāsaf, , ar
LIT1199Barala#t5georgian, Not available, , geo
LIT1199Barala#t6greek, Not available, , grc
LIT1915Mashaf, Maṣḥafa ʾardǝʾǝt, , gez
LIT1915Mashaf, Maṣḥafa ʾardǝʾǝt, , gez
LIT1940Mashaf, Maṣḥafa krǝstǝnnā (Generic record), , gez
LIT3952MashafaQ#t2Arabic, Qandīl, Paks2, ar
LIT3952MashafaQ#t3Greek, Not available, Paks2, grc
LIT1961Mashaf, Maṣḥafa saʿātāt (general record), , gez
LIT3989Aragawi#t2arabic, Compendium of aš-Šayḫ al-Rūḥānī, Paks2, ar
LIT3989Aragawi#t3syriac, Compendium of Yoḥannān Sabhā, Paks2, syr
LIT3171Commen#t2greek, CPG 4440, Paks2, grc
LIT3171Commen#t2arabic, Not available, Paks2, ar
LIT3171Commen#t1, Tǝrgʷāme malʾǝkt za-bǝṣuʿ wa-kǝbur Ṗāwlos za-ṣaḥafa la-ʿƎbrāwǝyān, Paks2, gez
LIT3942ArdeetCh, Maṣḥafa ʾardǝʾǝt, , gez
LIT1961Mashaf, Maṣḥafa saʿātāt (general record), , gez
LIT1759Legend, Legend of Abgar (general record), , gez
LIT1759Legend, Legend of Abgar (general record), , gez
LIT1978Mashaf#t4arabic, Not available, , ar
LIT1978Mashaf#t7syriac, Not available, , syr
LIT1959Mashaf#t2Arabic, Qidra, , ar
LIT1709Kebran#t2arabic, Šarḥ sabab intiqāl mamlakat Sulaymān malik ʾIsrāʾīl ʾilā bilād an-naǧāšīya allatī hiya al-ḥabaša, , ar
LIT1925Mashaf#t2arabic, Kitāb al-bustān wa-qāʿidat al-ḥukamāʾ wa-šams al-ʾādāb, Paks2, at
LIT1340EnochE#t4aramaic, Aramaic Version of Enoch, , Not available
LIT1340EnochE#t5greek, Greek Version of Enoch, , Not available
LIT1293Dersan#t4arabic, Not available, , ar
LIT1958Mashaf#t2arabic, Qandīl, , ar
LIT1958Mashaf#t3greek, Not available, , grc
LIT1124Apocal#t3greek, CANT 325, , grc
LIT1124Apocal#t4arabic, Arabic Vision of Paul, , ar
LIT1124Apocal#t1, Rāʾǝya [ʾǝgzǝʾǝtǝna] Māryām, , gez
LIT1046Aksima#t2arabic, ʾAksīmāris, , ar
LIT1586Hayman#t2arabic, Iʿtirāf al-ʾābāʾ, , ar
LIT1914Mashaf#t3greek, CPG 2257, , grc
LIT1914Mashaf#t4arabic, Arabic Questions to Antiochus, , ar
LIT1629Homily#t2syriac, Consolation for priests, , syr
LIT1697Jubilees#t2hebrew, Hebrew Book of Jubilees, , he
LIT1697Jubilees#t3greek, Greek Book of Jubilees, , grc
LIT1697Jubilees#t3greek, Greek Book of Jubilees, , grc
LIT1107Ankari#t4greek, Not available, , grc
LIT1933Mashaf#t2arabic, Kitāb al-ḥāwi, Paks2, ar
LIT1933Mashaf#t3greek, Πανδέκται τῶν ἑρμηνείον τῶν θείον ἐντολῶν τοῦ Κυρίου, Paks2, grc
LIT1401Physio#t3greek, Ὁ φυσιολόγος, Aks, grc
LIT2353SibylW#t2arabic, Arabic Wisdom of Sibyl, , ar
LIT2625ZenaSe#t2greek, Greek Secundus, Paks1, grc
LIT2625ZenaSe#t3arabic LIT2625ZenaSe#t4syr, Not available, Paks1, ar
LIT1438GadlaE, Gadla ʾEwosṭātewos, , gez
LIT4010Haymanotu#t2arabic, Arabic Creed of Jacob Baradaeus, Paks1 Paks2, ar
LIT1401Physio, Physiologus (general record), Aks, gez
LIT1438GadlaE, Gadla ʾEwosṭātewos, , gez
LIT4723TarikaWaldaAmid#t2, المجمع المبارك, Paks2, ar
LIT1438GadlaE, Gadla ʾEwosṭātewos, , gez
LIT4018Mashafa#t2arabic, Arabic Vorlage, Paks1 Paks2, ar
LIT4018Mashafa#t3arabic, faṣl fī-mā yaǧibu ʿalā                         ṭ-ṭabīb maʿrifatihī ʾaʿnī muʿallim al-iʿtirāf, Paks1 Paks2, ar
LIT4090Haylu#t1, Ḫāylu Compilation (general record), ZaMa, Not available
LIT2352ShortC, Short Chronicles, , gez
LIT4850pseudotrilingual, Pseudo-trilingual royal inscriptions RIÉ 185, , gez
LIT1401Physio, Physiologus (general record), Aks, gez
LIT4017Mashafa#t2arabic, Kitāb aṭ-ṭibb ar-rūḥānī, Paks1 Paks2, ar
LIT1401Physio, Physiologus (general record), Aks, gez
LIT1401Physio, Physiologus (general record), Aks, gez
LIT4851greekRoyal, Pseudo-trilingual royal inscriptions RIÉ                     270, , gez
LIT1961Mashaf, Maṣḥafa saʿātāt (general record), , gez
LIT2616Zenaes#t4arabic, Arabic Romance of Alexander, , ar
LIT1961Mashaf, Maṣḥafa saʿātāt (general record), , gez
LIT3570Agbiya, No item: LIT3570Agbiya, , gez
LIT2388Taamme, Taʾammǝra Śǝllāse, , gez
LIT2388Taamme, Taʾammǝra Śǝllāse, , gez
LIT2388Taamme, Taʾammǝra Śǝllāse, , gez